ano_eleicao,num_turno,sigla_uf,nome_municipio,nome_candidato,nome_urna_candidato,descricao_cargo,numero_cand,desc_sit_cand_superior,desc_sit_candidato,desc_sit_cand_tot,sigla_partido,nome_coligacao,composicao_legenda,total_votos,transito
2016,1,PB,RIACHÃO DO POÇO,MANOEL INACIO DA SILVA,MANOEL CEARENSE,VEREADOR,40222,APTO,DEFERIDO,SUPLENTE,PSB,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,10,N
2016,1,PB,RIACHÃO DO POÇO,MARINALVA SEVERINA LUIS,NALVA,VEREADOR,40110,APTO,DEFERIDO,SUPLENTE,PSB,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,8,N
2016,1,PB,RIACHÃO DO POÇO,JOSE MARQUES FILHO,ZECA DA PENEIRA,VEREADOR,40000,APTO,DEFERIDO,SUPLENTE,PSB,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,36,N
2016,1,PB,RIACHÃO DO POÇO,JOAO BATISTA DA SILVA PEREIRA,DANDA,VEREADOR,40122,APTO,DEFERIDO,SUPLENTE,PSB,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,43,N
2016,1,PB,RIACHÃO DO POÇO,JOSE VENICIO SÁ SANTANA,ESPIGA,VEREADOR,40123,APTO,DEFERIDO,ELEITO POR QP,PSB,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,92,N
2016,1,PB,RIACHÃO DO POÇO,SEVERINO SALES DA SILVA,SILVO DE AGUINALDO,VEREADOR,40444,APTO,DEFERIDO,SUPLENTE,PSB,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,76,N
2016,1,PB,RIACHÃO DO POÇO,SEVERINO LUIZ DA SILVA,RAMINHO,VEREADOR,45123,APTO,DEFERIDO,SUPLENTE,PSDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,87,N
2016,1,PB,RIACHÃO DO POÇO,ROBERTO PEREIRA DE MESQUITA,BETO DO POSTO,VEREADOR,45000,APTO,DEFERIDO,ELEITO POR QP,PSDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,276,N
2016,1,PB,RIACHÃO DO POÇO,RONALDO DA SILVA FERREIRA,RONALDO,VEREADOR,45555,APTO,DEFERIDO,SUPLENTE,PSDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,169,N
2016,1,PB,RIACHÃO DO POÇO,DAVID FERREIRA DE ARAÚJO,DAVID,VEREADOR,45678,APTO,DEFERIDO,SUPLENTE,PSDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,130,N
2016,1,PB,RIACHÃO DO POÇO,GEFFERSON FRANÇA DE FREITAS,PEU FRANÇA,VEREADOR,45789,APTO,DEFERIDO,ELEITO POR QP,PSDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,197,N
2016,1,PB,RIACHÃO DO POÇO,MARIA APARECIDA DA SILVA,CIDA DE JEOVÁ,VEREADOR,15678,APTO,DEFERIDO,SUPLENTE,PMDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,155,N
2016,1,PB,RIACHÃO DO POÇO,GILVÂNIA PEREIRA DA SILVA,VÂNIA,VEREADOR,15222,APTO,DEFERIDO,SUPLENTE,PMDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,46,N
2016,1,PB,RIACHÃO DO POÇO,SERGIO DA SILVA FERNANDES,SÉRGIO,VEREADOR,15234,APTO,DEFERIDO,SUPLENTE,PMDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,15,N
2016,1,PB,RIACHÃO DO POÇO,JOÃO PEREIRA DE LIMA,JOÃO DE ZÉ APRÍGIO,VEREADOR,15457,APTO,DEFERIDO,ELEITO POR QP,PMDB,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,207,N
2016,1,PB,RIACHÃO DO POÇO,MARIA DE FÁTIMA RAMOS VICENTE,TINÁ DE ZUZA,VEREADOR,12345,APTO,DEFERIDO,SUPLENTE,PDT,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,125,N
2016,1,PB,RIACHÃO DO POÇO,JOSELIA DA SILVA OLIVEIRA,ZÉLIA,VEREADOR,77888,APTO,DEFERIDO,SUPLENTE,SD,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,6,N
2016,1,PB,RIACHÃO DO POÇO,JOAQUIM DOMINGOS DOS SANTOS,JOAQUIM,VEREADOR,77777,APTO,DEFERIDO,ELEITO POR QP,SD,A UNIÃO PELA CONTINUAÇÃO DO TRABALHO COM HONESTIDADE.,PSDB / PMDB / PDT / SD,185,N
2016,1,PB,RIACHÃO DO POÇO,JOAO CAMILO FERREIRA FILHO,JOAO DE TINE,VEREADOR,17888,APTO,DEFERIDO,ELEITO POR QP,PSL,COM A FORÇA DO POVO,DEM / PSL,208,N
2016,1,PB,RIACHÃO DO POÇO,ALCIANE TAVARES DE SA,NUNUM,VEREADOR,25369,APTO,DEFERIDO,ELEITO POR QP,DEM,COM A FORÇA DO POVO,DEM / PSL,155,N
2016,1,PB,RIACHÃO DO POÇO,MARCELO FERREIRA DE LIMA,MARCELO,VEREADOR,25676,APTO,DEFERIDO,ELEITO POR QP,DEM,COM A FORÇA DO POVO,DEM / PSL,266,N
2016,1,PB,RIACHÃO DO POÇO,MARIA APARECIDA RAMOS MORAIS,CIDA DE EXPEDITO,VEREADOR,25789,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,52,N
2016,1,PB,RIACHÃO DO POÇO,JOSEFA MARIA DE FRANÇA SILVA,ZEZE,VEREADOR,25678,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,83,N
2016,1,PB,RIACHÃO DO POÇO,EDVALDO ALEXANDRE DE BRITO,VALDINHO,VEREADOR,25123,APTO,DEFERIDO,ELEITO POR MÉDIA,DEM,COM A FORÇA DO POVO,DEM / PSL,131,N
2016,1,PB,RIACHÃO DO POÇO,LUZINETE MARIA DOS SANTOS,LUZINETE,VEREADOR,25800,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,94,N
2016,1,PB,RIACHÃO DO POÇO,JOAO FERREIRA DIAS,SEU GALEGO,VEREADOR,25345,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,56,N
2016,1,PB,RIACHÃO DO POÇO,GERLANE DE OLIVEIRA CAVALCANTE,GERLANE,VEREADOR,25147,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,45,N
2016,1,PB,RIACHÃO DO POÇO,JOSEMAR IRINEU DA SILVA,JOSA DO SINDICATO,VEREADOR,25963,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,128,N
2016,1,PB,RIACHÃO DO POÇO,CLOVIS INACIO DA SILVA,CLOVES,VEREADOR,25677,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,29,N
2016,1,PB,RIACHÃO DO POÇO,ADILSON FERNANDES DA SILVA,ADILSON,VEREADOR,25234,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,93,N
2016,1,PB,RIACHÃO DO POÇO,JOSE ANTONIO RODRIGUES,TONTONHO,VEREADOR,25444,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,46,N
2016,1,PB,RIACHÃO DO POÇO,JOSENILDO MOROGES PATRICIO,NILDO,VEREADOR,25252,APTO,DEFERIDO,SUPLENTE,DEM,COM A FORÇA DO POVO,DEM / PSL,25,N
2016,1,PB,RIACHÃO DO POÇO,LILIANE BARROS DE LIMA,LILIANE,VEREADOR,40333,APTO,DEFERIDO,SUPLENTE,PSB,UNIDOS PELA MUDANÇA DO RIACHÃO DO POÇO,PSB / PT do B,6,N
2016,1,PB,ÁGUA BRANCA,TARCISIO ALVES FIRMINO,TARCISIO,PREFEITO,40,APTO,DEFERIDO,NÃO ELEITO,PSB,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,2859,N
2016,1,PB,ÁGUA BRANCA,EVERTON FIRMINO BATISTA,TOM,PREFEITO,15,APTO,DEFERIDO,ELEITO,PMDB,PARTIDO ISOLADO,PMDB,2974,N
2016,1,PB,ÁGUA BRANCA,RACHEL KALIL NICOLAU LEITE,RACHEL DE LENILDO,VEREADOR,25123,APTO,DEFERIDO,SUPLENTE,DEM,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,50,N
2016,1,PB,ÁGUA BRANCA,MARIA ZELIA DE CARVALHO,ZELIA DE DAO,VEREADOR,25777,APTO,DEFERIDO,SUPLENTE,DEM,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,92,N
2016,1,PB,ÁGUA BRANCA,PEDRO JORGE OLIVEIRA GAMA,PEDRO JORGE,VEREADOR,25555,APTO,DEFERIDO,ELEITO POR QP,DEM,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,476,N
2016,1,PB,ÁGUA BRANCA,MARCELO DAMIAO DE ALMEIDA,MARCELO MOTORISTA,VEREADOR,25000,APTO,DEFERIDO,SUPLENTE,DEM,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,53,N
2016,1,PB,ÁGUA BRANCA,MARLUCE PEREIRA VERAS DE BRITO,MARLUCE PROFESSORA,VEREADOR,25608,APTO,DEFERIDO,ELEITO POR QP,DEM,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,372,N
2016,1,PB,ÁGUA BRANCA,JOSE VIANEIS EUFRASIO PEREIRA,ZE VIANEIS,VEREADOR,25678,APTO,DEFERIDO,SUPLENTE,DEM,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,124,N
2016,1,PB,ÁGUA BRANCA,AKACIO PEREIRA DE LIMA,KACIN DA LAGOINHA,VEREADOR,90123,APTO,DEFERIDO,ELEITO POR MÉDIA,PROS,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,269,N
2016,1,PB,ÁGUA BRANCA,LUIZ GUSTAVO ANDRADE MARTINS,GUSTAVO DE MIRA,VEREADOR,90111,APTO,DEFERIDO,ELEITO POR QP,PROS,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,392,N
2016,1,PB,ÁGUA BRANCA,GENILDO VIEIRA DE ANDRADE,GENILDO VIEIRA,VEREADOR,90333,APTO,DEFERIDO,SUPLENTE,PROS,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,208,N
2016,1,PB,ÁGUA BRANCA,ALEX SANDRO DA SILVA,SANDRO,VEREADOR,45555,APTO,DEFERIDO,SUPLENTE,PSDB,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,22,N
2016,1,PB,ÁGUA BRANCA,JOSE NERY MOURA,NERY,VEREADOR,40222,APTO,DEFERIDO,ELEITO POR QP,PSB,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,361,N
2016,1,PB,ÁGUA BRANCA,RAIMUNDO MENDES DA SILVA,NENA DA PIPOCA,VEREADOR,40123,APTO,DEFERIDO,SUPLENTE,PSB,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,129,N
2016,1,PB,ÁGUA BRANCA,EILSOM DO CARMO LIMA,EILSOM DE QUENO,VEREADOR,45123,APTO,DEFERIDO,SUPLENTE,PSDB,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,32,N
2016,1,PB,ÁGUA BRANCA,IRANI BATISTA DA SILVA,IRANI,VEREADOR,11789,APTO,DEFERIDO,SUPLENTE,PP,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,0,N
2016,1,PB,ÁGUA BRANCA,SIMONE ESTEVAM GOMES,SIMONE,VEREADOR,45678,APTO,DEFERIDO,SUPLENTE,PSDB,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,11,N
2016,1,PB,ÁGUA BRANCA,EDILSON SOARES BATISTA,CIGANO,VEREADOR,11111,APTO,DEFERIDO,ELEITO POR QP,PP,O TRABALHO NÃO PODE PARAR,PSB / PP / DEM / PSDB / PROS,938,N
2016,1,PB,ÁGUA BRANCA,ADEILSON CICERO DA SILVA,ADEILSON MOTO TAXI,VEREADOR,15125,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,39,N
2016,1,PB,ÁGUA BRANCA,FELIPE JONHES CALDEIRA DO SANTO,FELIPE DE ANTONIO CALDEIRA,VEREADOR,15610,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,132,N
2016,1,PB,ÁGUA BRANCA,GERALDO CEZARIO CANDIDO FILHO,CORRÓ,VEREADOR,15551,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,91,N
2016,1,PB,ÁGUA BRANCA,IOLANDA FREITAS DA SILVA,IOLANDA DE JOANITA,VEREADOR,15333,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,178,N
2016,1,PB,ÁGUA BRANCA,JOSE ADAUTO FIRMINO,ADAUTO FIRMINO,VEREADOR,15585,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,14,N
2016,1,PB,ÁGUA BRANCA,JOSE CORREIA DE LIMA,NILO FERREIRO,VEREADOR,15444,APTO,DEFERIDO,ELEITO POR QP,PMDB,PARTIDO ISOLADO,PMDB,378,N
2016,1,PB,ÁGUA BRANCA,JOSE ELDE MONTEIRO,GALEGO DA LAN HOUSE,VEREADOR,15615,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,50,N
2016,1,PB,ÁGUA BRANCA,JOSE EUDO DA SILVA,DÉ CABOCO,VEREADOR,15310,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,44,N
2016,1,PB,ÁGUA BRANCA,MARIA DO CARMO FIRMINO,MARIA DO CARMO DE NECO,VEREADOR,15678,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,21,N
2016,1,PB,ÁGUA BRANCA,MARIA DO DESTERRO SOUZA OLIVEIRA DE ALMEIDA,MARIA DE DAMIÃO,VEREADOR,15111,APTO,DEFERIDO,ELEITO POR QP,PMDB,PARTIDO ISOLADO,PMDB,351,N
2016,1,PB,ÁGUA BRANCA,MARINEZ SOARES DA SILVA,MARINEZ DO SINDICATO,VEREADOR,15222,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,67,N
2016,1,PB,ÁGUA BRANCA,REGINALDO CHAVES FILHO,REGINALDIM,VEREADOR,15000,APTO,DEFERIDO,SUPLENTE,PMDB,PARTIDO ISOLADO,PMDB,119,N
2016,1,PB,ÁGUA BRANCA,WELITOM CORREIA DE SOUSA,TINTIM,VEREADOR,15123,APTO,DEFERIDO,ELEITO POR QP,PMDB,PARTIDO ISOLADO,PMDB,440,N
2016,1,PB,SOBRADO,GEORGE JOSÉ PORCIÚNCULA PEREIRA COELHO,GEORGE COELHO,PREFEITO,40,APTO,DEFERIDO,ELEITO,PSB,SOBRADO SEGUE EM FRENTE,PSB / PP / PDT / PRB / PT / PTB / PMDB / PPS,3440,N
2016,1,PB,SOBRADO,MARCIA VALERIA DA SILVA,MÁRCIA,PREFEITO,55,APTO,DEFERIDO,NÃO ELEITO,PSD,JUNTOS POR SOBRADO,PSD / PSDB / PROS,2133,N
2016,1,PB,SOBRADO,YARA JANE FONSECA ALVES,YARA,VEREADOR,11555,APTO,DEFERIDO,SUPLENTE,PP,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,4,N
2016,1,PB,SOBRADO,CARLOS ANTONIO BARBOSA DA SILVA,CARLOS AGENTE DE ENDEMIAS,VEREADOR,23100,APTO,DEFERIDO,SUPLENTE,PPS,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,4,N
2016,1,PB,SOBRADO,PEDRO DIAS DE ARAÚJO,PEDRO CARNEIRO,VEREADOR,23222,APTO,DEFERIDO,SUPLENTE,PPS,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,65,N
2016,1,PB,SOBRADO,VALDEMIR JUSTINO DE ARAÚJO,VALDEMIR,VEREADOR,11211,APTO,DEFERIDO,SUPLENTE,PP,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,46,N
2016,1,PB,SOBRADO,JOÃO TAVARES DE MELO,JOÃO DE DUDA,VEREADOR,12345,APTO,DEFERIDO,SUPLENTE,PDT,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,117,N
2016,1,PB,SOBRADO,JOSÉ MARCOS DA SILVA,IRMÃO MARCOS,VEREADOR,23333,APTO,DEFERIDO,SUPLENTE,PPS,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,175,N
2016,1,PB,SOBRADO,EWERTON PEREIRA PIRES,TON PIRES,VEREADOR,11123,APTO,DEFERIDO,SUPLENTE,PP,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,112,N
2016,1,PB,SOBRADO,ROBERTO CARLOS IRINEU DA SILVA,CARLINHO,VEREADOR,10123,APTO,DEFERIDO,SUPLENTE,PRB,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,107,N
2016,1,PB,SOBRADO,ROSANGELA DA COSTA FERREIRA,ROSANGELA,VEREADOR,23444,APTO,DEFERIDO,SUPLENTE,PPS,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,11,N
2016,1,PB,SOBRADO,OTACILIO NUNES,OTA,VEREADOR,12222,APTO,DEFERIDO,SUPLENTE,PDT,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,110,N
2016,1,PB,SOBRADO,MARLON BRAND DE OLIVEIRA BRITO,MARLON,VEREADOR,11111,APTO,DEFERIDO,ELEITO POR MÉDIA,PP,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,198,N
2016,1,PB,SOBRADO,JOÃO SÉRGIO BATISTA,QUEQUE,VEREADOR,11333,APTO,DEFERIDO,ELEITO POR QP,PP,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,245,N
2016,1,PB,SOBRADO,JOSAINA DA SILVA SANTOS,JOSAINA,VEREADOR,11000,APTO,DEFERIDO,SUPLENTE,PP,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,0,N
2016,1,PB,SOBRADO,RISALVA DO VALE MOUZINHO,PIFITA,VEREADOR,11112,APTO,DEFERIDO,SUPLENTE,PP,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,40,N
2016,1,PB,SOBRADO,JOSINALDO PEREIRA DE OLIVEIRA,NINO DE CORDEIRO,VEREADOR,23456,APTO,DEFERIDO,SUPLENTE,PPS,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,161,N
2016,1,PB,SOBRADO,JOSÉ MARCONE DE MATOS LIMA,MARCONE,VEREADOR,12333,APTO,DEFERIDO,ELEITO POR QP,PDT,SOBRADO SEGUE EM FRENTE II,PP / PPS / PDT / PRB,320,N
2016,1,PB,SOBRADO,SEVERINO BARBOSA DO ESPIRITO SANTO,PASTOR,VEREADOR,14000,APTO,DEFERIDO,SUPLENTE,PTB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,179,N
2016,1,PB,SOBRADO,RICARDO DE MÉLO MARTIM,RICARDO,VEREADOR,15555,APTO,DEFERIDO,ELEITO POR MÉDIA,PMDB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,212,N
2016,1,PB,SOBRADO,JOELSON SOARES DOS SANTOS,JOELSON,VEREADOR,15111,APTO,DEFERIDO,SUPLENTE,PMDB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,65,N
2016,1,PB,SOBRADO,ADAILTON GOMES DE SOUZA JUNIOR,JUNIOR,VEREADOR,14444,APTO,DEFERIDO,SUPLENTE,PTB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,153,N
2016,1,PB,SOBRADO,MARIA DAS GRAÇAS DA COSTA BATISTA,MARIA,VEREADOR,13456,APTO,DEFERIDO,ELEITO POR QP,PT,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,260,N
2016,1,PB,SOBRADO,ALTAMIR DE MENEZES CHIANCA,ALTAMIR,VEREADOR,15666,APTO,DEFERIDO,SUPLENTE,PMDB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,21,N
2016,1,PB,SOBRADO,CICERO PEREIRA DE LIMA,CICERO DE CARUÇÚ,VEREADOR,14555,APTO,DEFERIDO,SUPLENTE,PTB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,183,N
2016,1,PB,SOBRADO,JUDITE FERREIRA BANDEIRA,DONA JUDITE,VEREADOR,40123,APTO,DEFERIDO,SUPLENTE,PSB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,95,N
2016,1,PB,SOBRADO,AMANDA VANESSA COSTA DE SOUZA,AMANDA,VEREADOR,40000,APTO,DEFERIDO,SUPLENTE,PSB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,6,N
2016,1,PB,SOBRADO,NÚBIA GISELE DA SILVA ALVES,NUBIA,VEREADOR,40222,APTO,DEFERIDO,SUPLENTE,PSB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,4,N
2016,1,PB,SOBRADO,IVANILDO DANIEL BERNARDO,NILDO DE AREIA BRANCA,VEREADOR,40333,APTO,DEFERIDO,SUPLENTE,PSB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,41,N
2016,1,PB,SOBRADO,JEIMESON LUIZ DE FRANÇA,JEIMESON,VEREADOR,40111,APTO,DEFERIDO,ELEITO POR QP,PSB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,384,N
2016,1,PB,SOBRADO,WELLINGTON ALVES DE LIMA,WELLINGTON,VEREADOR,15000,APTO,DEFERIDO,SUPLENTE,PMDB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,6,N
2016,1,PB,SOBRADO,ARLINDA AUGUSTO MONTEIRO,DONA MARIQUINHA,VEREADOR,40444,APTO,DEFERIDO,SUPLENTE,PSB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,5,N
2016,1,PB,SOBRADO,ANDRE CARLOS SANTOS DE CASTRO,ANDRE DO PEIXE,VEREADOR,14123,APTO,DEFERIDO,SUPLENTE,PTB,SOBRADO SEGUE EM FRENTE I,PSB / PT / PMDB / PTB,78,N
2016,1,PB,SOBRADO,ANA CAROLINA DE OLIVEIRA MELO,CAROL MELO,VEREADOR,45000,APTO,DEFERIDO,ELEITO POR QP,PSDB,JUNTOS POR SOBRADO,PSD / PSDB / PROS,290,N
2016,1,PB,SOBRADO,PEDRO JOSE DA SILVA,PEDRO,VEREADOR,55444,APTO,DEFERIDO,SUPLENTE,PSD,JUNTOS POR SOBRADO,PSD / PSDB / PROS,117,N
